player_name,games,time,goals,xG,assists,xA,shots,key_passes,position,team_title,npg,npxG
Ilkay Gündogan,10,586,1,2.549113081768155,1,0.9176468625664711,9,9,M S,Manchester City,0,1.0268122293055058
Joel Matip,8,631,1,0.1732353027909994,0,0.015664158388972282,3,1,D S,Liverpool,1,0.1732353027909994
Steve Cook,10,840,1,0.21353597939014435,0,0.5165528655052185,5,1,D,Bournemouth,1,0.21353597939014435
Dan Gosling,10,645,1,1.5447680205106735,1,0.407668799161911,4,1,M S,Bournemouth,1,1.5447680205106735
James Milner,10,430,1,0.8338755741715431,0,0.39545415714383125,4,5,D M S,Liverpool,0,0.07270673662424088
Héctor Bellerín,7,626,1,0.20790773630142212,0,0.13279984891414642,4,1,D M,Arsenal,1,0.20790773630142212
Mesut Özil,10,769,1,0.7356915529817343,0,0.9680504333227873,3,19,M,Arsenal,1,0.7356915529817343
Olivier Giroud,8,354,1,1.6040413938462734,0,0.8468864411115646,10,5,F S,Chelsea,1,1.6040413938462734
Theo Walcott,10,593,1,1.5940694734454155,1,1.3401114773005247,12,7,M S,Everton,1,1.5940694734454155
Connor Wickham,6,78,1,0.9868198409676552,1,0.40056823566555977,3,3,S,Crystal Palace,1,0.9868198409676552
James Tomkins,10,874,1,0.6912310812622309,1,0.06092267856001854,8,1,D,Crystal Palace,1,0.6912310812622309
Michail Antonio,10,764,1,3.0623748041689396,2,1.8944353461265564,24,10,F M S,West Ham,1,3.0623748041689396
Cheikhou Kouyaté,10,572,1,0.8388834521174431,1,0.24837220646440983,6,4,M S,Crystal Palace,1,0.8388834521174431
Nathan Aké,10,844,1,1.809610579162836,0,0.14302612841129303,11,1,D,Bournemouth,1,1.809610579162836
Tom Cleverley,10,657,1,1.6930489614605904,0,0.6229856535792351,15,13,M S,Watford,1,1.6930489614605904
Christian Benteke,10,571,1,2.5050619170069695,1,0.6301789730787277,21,8,F S,Crystal Palace,1,2.5050619170069695
Nicolás Otamendi,10,716,1,0.643993116915226,0,0.12712495028972626,4,2,D S,Manchester City,1,0.643993116915226
Toby Alderweireld,10,889,1,0.12364162318408489,0,0.41854921728372574,3,4,D,Tottenham,1,0.12364162318408489
Jan Vertonghen,10,743,1,0.6045444551855326,1,1.017921805381775,3,3,D S,Tottenham,1,0.6045444551855326
Christian Eriksen,10,387,1,0.5718180257827044,1,0.6040765065699816,11,10,M S,Tottenham,1,0.5718180257827044
DeAndre Yedlin,10,668,1,0.7519300580024719,0,0.23353363201022148,1,5,D M S,Newcastle United,1,0.7519300580024719
Patrick van Aanholt,10,813,1,0.34444658271968365,0,1.8523346427828074,9,16,D,Crystal Palace,1,0.34444658271968365
Demarai Gray,10,295,1,1.6497168093919754,1,0.8909143693745136,9,4,M S,Leicester,1,0.8885479718446732
Jamaal Lascelles,10,829,1,0.1950033577159047,0,0,5,0,D,Newcastle United,1,0.1950033577159047
Georginio Wijnaldum,10,840,1,0.4748266190290451,0,0.269292576238513,6,4,M,Liverpool,1,0.4748266190290451
Andros Townsend,10,533,1,0.15276087448000908,1,0.9994247332215309,3,6,M S,Crystal Palace,1,0.15276087448000908
Ben Chilwell,10,900,1,0.25652332603931427,0,0.4146254751831293,5,7,D M,Leicester,1,0.25652332603931427
Robbie Brady,10,320,1,0.7761790901422501,0,0.039175618439912796,7,3,M S,Burnley,1,0.7761790901422501
Virgil van Dijk,10,900,1,1.0556752169504762,0,0.05686516687273979,9,1,D,Liverpool,1,1.0556752169504762
Ciaran Clark,10,832,1,0.6229434199631214,0,0,4,0,D,Newcastle United,1,0.6229434199631214
Glenn Murray,10,373,1,1.4532736837863922,0,0,10,0,F S,Brighton,1,1.4532736837863922
Xherdan Shaqiri,6,170,1,0.5408407375216484,0,0.1784982606768608,4,3,M S,Liverpool,1,0.5408407375216484
Adama Traoré,10,670,1,0.6378801297396421,4,3.127942707389593,15,16,F S,Wolverhampton Wanderers,1,0.6378801297396421
Felipe Anderson,10,619,1,0.5713966265320778,1,0.5444386377930641,5,9,M S,West Ham,1,0.5713966265320778
Dennis Praet,10,549,1,0.7576518459245563,2,0.6917102336883545,6,4,M S,Leicester,1,0.7576518459245563
