id,player_name,games_x,time_x,goals_3wks,xG_3wks,assists_3wks,xA_3wks,shots_3wks,key_passes_3wks,yellow_cards_x,red_cards_x,position,team_title,npg_3wks,npxG_3wks,xGChain_x,xGBuildup_x,games_y,time_y,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards_y,red_cards_y,npg_season,npxG_season,xGChain_y,xGBuildup_y,games_x,time_x,goals_5wks,xG_5wks,assists_5wks,xA_5wks,shots_5wks,key_passes_5wks,yellow_cards_x,red_cards_x,npg_5wks,npxG_5wks,xGChain_x,xGBuildup_x,games_y,time_y,goals_10wks,xG_10wks,assists_10wks,xA_10wks,shots_10wks,key_passes_10wks,yellow_cards_y,red_cards_y,npg_10wks,npxG_10wks,xGChain_y,xGBuildup_y
453,Son Heung-Min,3,270,4,3.6103782653808594,0,0.3758023679256439,14,2,0,0,FWD,Tottenham,4,2.8492095470428467,3.159838080406189,0.6684185303747654,21,1764,9,7.868720996193588,7,5.1928730346262455,64,30,0,2,9,7.107552277855575,14.957184799015522,5.197754517197609,5,450,4,3.984076350927353,0,0.946405678987503,22,5,0,0,4,3.22290763258934,4.724009335041046,1.3573448918759823,10,875,5,5.090635243803263,3,2.8212594091892242,30,13,0,1,5,4.32946652546525,8.1997353695333,2.4757585749030113
318,Pierre-Emerick Aubameyang,3,270,3,1.8534485399723053,0,0.41495439410209656,9,2,0,0,MID,Arsenal,3,1.8534485399723053,3.8160699903964996,1.634667444974184,25,2219,17,12.099752061069012,1,3.1151421517133713,64,18,3,1,16,11.338620088994503,15.042778752744198,3.9832021184265614,5,429,4,2.3598601445555687,0,0.48351839929819107,11,3,0,1,4,2.3598601445555687,4.3910456001758575,1.7032314501702785,10,869,7,4.973360434174538,1,1.1721787974238396,26,6,1,1,7,4.973360434174538,6.755628325045109,1.8340608961880207
556,Marcus Rashford,3,240,3,2.6236976087093353,0,0,11,0,0,0,MID,Manchester United,2,1.8625288307666779,1.8507579863071442,0.06590799242258072,22,1890,14,15.110983923077583,4,3.2046038936823606,74,24,2,0,9,9.782838862389326,12.893335608765483,2.9352949280291796,5,395,4,3.50810170173645,0,0.08746021240949631,17,3,0,0,3,2.7469329237937927,2.809921473264694,0.2180788889527321,10,845,8,6.846153691411018,1,0.8686243481934071,37,7,0,0,5,4.562684014439583,5.7924367636442184,1.339916542172432
1621,Marcos Alonso,3,270,3,0.8649666011333466,0,0.897333562374115,12,7,0,0,MID,Chelsea,3,0.8649666011333466,1.8755294382572174,0.42177005112171173,10,771,4,1.5486389147117734,2,2.0359728448092937,17,15,3,0,4,1.5486389147117734,6.055390357971191,3.893724277615547,5,424,4,0.9680413603782654,0,0.9525037780404091,14,8,1,0,4,0.9680413603782654,2.4644566774368286,0.9390916377305984,10,771,4,1.5486389147117734,2,2.0359728448092937,17,15,3,0,4,1.5486389147117734,6.055390357971191,3.893724277615547
5555,Dominic Calvert-Lewin,3,270,3,3.4144917130470276,1,0.11887557804584503,13,1,1,0,FWD,Everton,3,3.4144917130470276,2.932563066482544,0.4436896741390228,26,1843,13,12.566680720075965,1,1.1579966507852077,64,13,7,0,13,12.566680720075965,13.79310318082571,3.4164155051112175,5,437,4,4.530381262302399,1,0.27348169684410095,20,4,2,0,4,4.530381262302399,4.262119725346565,1.064599633216858,10,887,8,7.363521104678512,1,0.9648948609828949,39,9,5,0,8,7.363521104678512,6.943296372890472,1.6818554010242224
6854,Diogo Jota,3,228,3,3.049544222652912,1,0.4361051358282566,9,3,0,0,FWD,Wolverhampton Wanderers,3,3.049544222652912,3.7583552300930023,1.2777107059955597,24,1720,6,10.183311998844147,1,1.5629372149705887,57,22,3,0,6,10.183311998844147,13.134668752551079,3.7487251609563828,5,311,3,3.916740767657757,1,0.5682743825018406,13,5,0,0,3,3.916740767657757,4.618948400020599,1.4098799526691437,10,662,3,4.8909640200436115,1,0.7651678267866373,22,9,0,0,3,4.8909640200436115,6.219998225569725,1.955522507429123
553,Anthony Martial,3,261,2,0.7373044490814209,0,0.11746539175510406,8,1,0,0,FWD,Manchester United,2,0.7373044490814209,0.9474766999483109,0.09270687401294708,22,1821,10,8.483855031430721,3,2.5388134699314833,56,20,1,0,10,7.722686313092709,12.897990750148892,4.839460968971252,5,441,2,1.058552622795105,0,0.2668743412941694,13,5,0,0,2,1.058552622795105,1.61087660305202,0.4134730249643326,10,861,6,3.4732726514339447,0,0.39455212838947773,26,8,0,0,6,3.4732726514339447,5.403047556057572,2.3169333562254906
647,Harry Kane,3,258,2,1.5388181805610657,0,0.356219545006752,9,5,0,0,FWD,Tottenham,1,0.7776861190795898,1.105156049132347,0.10583993420004845,20,1785,11,7.897518165409565,2,1.958489641547203,57,20,2,0,9,6.375217266380787,10.01292653940618,2.4263819279149175,5,438,2,1.8130098059773445,0,0.5002602227032185,13,7,1,0,1,1.0518777444958687,1.6643562465906143,0.24680783972144127,10,888,5,3.520422086119652,1,1.1460483931005,29,13,2,0,4,2.759290024638176,4.510518584400415,1.3118550442159176
757,Jeffrey Schlupp,3,127,2,0.15546773374080658,0,0,2,0,0,0,DEF,Crystal Palace,2,0.15546773374080658,0.15546773374080658,0,14,858,2,1.5283356253057718,1,0.9487967370077968,14,7,2,0,2,1.5283356253057718,2.9981749281287193,0.9975786209106445,5,159,2,0.175225380808115,0,0,3,0,0,0,2,0.175225380808115,0.32668473571538925,0.15145935118198395,10,576,2,1.3211156520992517,0,0.2954249856993556,9,4,2,0,2,1.3211156520992517,2.1709080412983894,0.7029618322849274
838,Sadio Mané,3,208,2,1.006341576576233,0,0,4,0,1,0,FWD,Liverpool,2,1.006341576576233,1.1402577683329582,0.19910479336977005,25,2000,13,12.30285382270813,6,4.751034580171108,57,39,2,0,13,12.30285382270813,19.371601961553097,4.88572134822607,5,325,2,1.6376349329948425,0,0.29528794437646866,8,3,1,0,2,1.6376349329948425,2.332038216292858,0.7222495153546333,10,758,4,5.612332060933113,2,0.7269028685986996,21,9,1,0,4,5.612332060933113,8.194576404988766,2.899350218474865
